City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
308,Kailua,US,80.58,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
312,Coacoyul,MX,85.23,clear sky,17.8058,-99.11,Casa Abuelita Natalia
314,Karratha,AU,83.79,broken clouds,-20.7377,116.8463,ibis Styles Karratha
315,Kahului,US,82.42,few clouds,20.8947,-156.47,Maui Seaside Hotel
317,Pueblo Rico,CO,78.28,overcast clouds,5.2383,-76.0364,Hotel Don Pedro
319,Carnarvon,AU,78.87,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
320,Ballina,AU,78.98,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
326,Fare,PF,80.67,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
329,Bac Lieu,VN,76.06,scattered clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
331,Tomatlan,MX,85.41,clear sky,19.9333,-105.25,El Salvial
332,Sao Gabriel Da Cachoeira,BR,77.97,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
341,The Valley,AI,78.94,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
344,Sao Jose Da Coroa Grande,BR,79.2,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
345,Vung Tau,VN,78.08,broken clouds,10.346,107.0843,Green hotel
346,La Palma,US,78.91,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
