City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
159,Yatou,CN,2022-01-26 04:16:05,37.15,122.3833,38.32,47,11,11.43
160,Baracoa,CU,2022-01-26 04:16:05,20.3467,-74.4958,71.28,76,0,2.82
161,Muromtsevo,RU,2022-01-26 04:16:06,56.3724,75.2418,-5.82,100,96,2.51
162,Sulangan,PH,2022-01-26 04:16:07,11.1373,123.7228,81.63,80,44,8.25
163,Port Elizabeth,ZA,2022-01-26 04:16:07,-33.918,25.5701,68.09,88,100,9.22
164,Bejar,ES,2022-01-26 04:16:08,40.3864,-5.7634,30.34,82,0,3.78
165,Acapulco,MX,2022-01-26 04:16:09,16.8634,-99.8901,78.62,78,40,3.44
166,Vila Franca Do Campo,PT,2022-01-26 04:16:09,37.7167,-25.4333,58.19,81,94,8.28
167,Hami,CN,2022-01-26 04:16:10,42.8,93.45,25.56,42,8,4.65
168,Constitucion,CL,2022-01-26 04:16:10,-35.3333,-72.4167,55.78,92,7,6.4
169,Santa Rosa,PH,2022-01-26 04:11:42,14.3122,121.1114,83.1,75,99,12.08
170,Mubi,NG,2022-01-26 04:16:11,10.2676,13.2644,59.36,29,38,2.19
171,Foix,FR,2022-01-26 04:16:12,42.8333,1.5833,34.99,60,0,6.35
172,Ruteng,ID,2022-01-26 04:16:13,-8.6136,120.4721,72.43,75,100,3.69
173,Bathsheba,BB,2022-01-26 04:16:13,13.2167,-59.5167,75.81,78,40,13.8
174,Faanui,PF,2022-01-26 04:16:14,-16.4833,-151.75,80.98,76,65,12.91
175,Buzmeyin,TM,2022-01-26 04:16:15,38.0507,58.2056,29.93,80,99,2.3
176,Horsham,GB,2022-01-26 04:16:15,51.064,-0.3272,38.5,87,75,3.44
177,Alyangula,AU,2022-01-26 04:16:16,-13.8483,136.4192,87.57,64,85,6.78
178,Nantucket,US,2022-01-26 04:16:17,41.2835,-70.0995,33.91,66,84,19.8
179,Tasiilaq,GL,2022-01-26 04:16:17,65.6145,-37.6368,15.96,71,24,6.69
180,Antofagasta,CL,2022-01-26 04:14:21,-23.65,-70.4,63.68,80,6,4.14
181,Bukama,CD,2022-01-26 04:17:18,-9.2,25.85,67.66,99,100,1.16
182,Flinders,AU,2022-01-26 04:17:19,-34.5833,150.8552,76.24,67,96,8.93
183,Atar,MR,2022-01-26 04:17:20,20.5169,-13.0499,64.98,45,21,8.5
184,Moindou,NC,2022-01-26 04:17:20,-21.6924,165.677,82.35,66,60,11.16
185,Matara,LK,2022-01-26 04:12:23,5.9485,80.5353,79.83,66,85,3.67
186,Mahebourg,MU,2022-01-26 04:17:21,-20.4081,57.7,80.26,61,40,11.5
187,Pringsewu,ID,2022-01-26 04:17:22,-5.3582,104.9744,86.85,62,89,3.44
188,Castro,BR,2022-01-26 04:17:22,-24.7911,-50.0119,64.33,97,10,4.54
189,Chupaca,PE,2022-01-26 04:17:23,-12.0667,-75.2833,51.96,85,97,3.2
190,Tual,ID,2022-01-26 04:17:24,-5.6667,132.75,84.61,74,97,11.23
191,Lompoc,US,2022-01-26 04:17:24,34.6391,-120.4579,54.12,83,100,0.0
192,Carauari,BR,2022-01-26 04:17:25,-4.8828,-66.8958,73.33,100,100,2.75
193,Puerto Colombia,CO,2022-01-26 04:17:26,10.9878,-74.9547,78.89,83,75,25.05
194,Severo-Yeniseyskiy,RU,2022-01-26 04:17:27,60.3725,93.0408,-10.28,97,32,2.06
195,Te Anau,NZ,2022-01-26 04:17:27,-45.4167,167.7167,60.03,54,52,9.69
196,La Sarre,CA,2022-01-26 04:17:28,48.8002,-79.1996,-24.29,100,92,3.22
197,Arraial Do Cabo,BR,2022-01-26 04:17:29,-22.9661,-42.0278,75.04,91,0,16.67
198,Sumbe,AO,2022-01-26 04:17:30,-11.2061,13.8437,75.76,89,100,2.75
