City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
252,Huai Yot,TH,7.7893,99.6348,71.49,97,53,2.44,broken clouds
253,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,88,75,10.36,broken clouds
254,Tuatapere,NZ,-46.1333,167.6833,72.82,66,28,4.23,scattered clouds
255,Northam,GB,51.0333,-4.2167,49.01,85,77,25.52,broken clouds
256,Mtambile,TZ,-5.3833,39.7,78.4,82,67,8.03,broken clouds
257,Agadez,NE,19.75,10.25,54.73,18,1,12.84,clear sky
258,Bartlesville,US,36.7473,-95.9808,60.51,26,0,3.44,clear sky
259,Tumut,AU,-35.3,148.2167,74.39,63,0,1.97,clear sky
260,Nizwa,OM,22.9333,57.5333,66.88,45,0,0.65,clear sky
261,Medina Del Campo,ES,41.3124,-4.9141,35.2,41,2,2.84,clear sky
262,Pala,TD,9.3642,14.9046,68.59,15,9,8.46,clear sky
263,Bam,IR,29.106,58.357,48.7,36,0,1.7,clear sky
264,Sungaipenuh,ID,-2.0833,101.3833,64.4,97,95,3.04,overcast clouds
265,Osorno,CL,-40.5667,-73.15,66.51,39,75,8.05,broken clouds
266,Conde,BR,-7.2597,-34.9075,80.06,89,20,5.75,few clouds
267,Clyde River,CA,70.4692,-68.5914,-21.77,76,40,4.61,scattered clouds
268,Wonthaggi,AU,-38.6044,145.5913,76.42,77,49,4.59,scattered clouds
269,Chimbote,PE,-9.0853,-78.5783,71.8,80,100,8.72,overcast clouds
270,Dingle,PH,10.9995,122.6711,75.38,92,55,4.34,broken clouds
271,Sola,VU,-13.8833,167.55,79.47,83,100,3.44,overcast clouds
272,Kulhudhuffushi,MV,6.6221,73.07,81.19,75,20,9.35,few clouds
273,Kodinsk,RU,58.6881,99.1844,-14.26,100,100,1.14,overcast clouds
274,Shelburne,CA,44.0787,-80.2041,19.29,94,58,6.8,broken clouds
275,Yeppoon,AU,-23.1333,150.7333,80.38,72,30,9.93,scattered clouds
276,Dhulagari,IN,22.5869,88.1731,58.89,51,18,2.08,few clouds
277,Bataipora,BR,-22.2953,-53.2711,73.76,91,50,2.82,scattered clouds
278,Macia,MZ,-25.0269,33.0989,70.88,92,91,3.02,overcast clouds
279,Isangel,VU,-19.55,169.2667,82.51,94,75,4.61,broken clouds
280,Ongandjera,NA,-17.8833,15.0667,72.99,33,100,12.41,overcast clouds
281,Neuquen,AR,-38.9516,-68.0591,78.69,14,0,13.8,clear sky
282,Sorong,ID,-0.8833,131.25,82.31,76,100,11.61,overcast clouds
283,Ierapetra,GR,35.01,25.7353,51.98,81,11,1.99,few clouds
284,Oum Hadjer,TD,13.2954,19.6966,64.62,16,1,12.66,clear sky
285,De-Kastri,RU,51.4667,140.7833,-9.45,95,91,9.69,overcast clouds
286,Abalak,RU,58.1286,68.5944,2.03,97,100,4.03,overcast clouds
287,Vereeniging,ZA,-26.6731,27.9261,65.84,93,99,5.1,light rain
288,Dombarovskiy,RU,50.7587,59.5386,24.53,95,100,15.86,overcast clouds
289,Lumphat,KH,13.4878,106.9816,72.18,84,66,4.79,broken clouds
290,Almaznyy,RU,48.0448,40.045,33.94,98,100,15.88,snow
291,Morlaix,FR,48.5833,-4.0,48.52,100,100,10.36,overcast clouds
292,Barsana,IN,27.65,77.3833,51.08,50,0,1.43,clear sky
293,Vikhorevka,RU,56.1201,101.1636,-9.81,99,100,0.85,overcast clouds
294,Qiyang,CN,26.5911,111.8474,36.36,99,100,1.25,light rain
295,Hofn,IS,64.2539,-15.2082,26.15,51,1,20.49,clear sky
296,Novo Aripuana,BR,-5.1206,-60.3797,73.98,94,95,2.28,overcast clouds
297,Ikwiriri,TZ,-7.9562,38.9716,73.36,99,98,0.49,moderate rain
298,El Viejo,NI,12.6633,-87.1672,86.22,66,40,4.61,scattered clouds
299,Sinnamary,GF,5.3833,-52.95,76.51,87,46,12.37,scattered clouds
300,Goderich,CA,43.7501,-81.7165,22.91,68,82,5.75,broken clouds
301,Marawi,PH,7.9986,124.2928,65.64,89,33,1.32,scattered clouds
302,Montepuez,MZ,-13.1256,38.9997,67.21,99,27,2.91,scattered clouds
303,Cherskiy,RU,68.75,161.3,-28.21,99,99,1.41,overcast clouds
304,Mareeba,AU,-17.0,145.4333,81.45,83,100,1.9,overcast clouds
305,Richards Bay,ZA,-28.783,32.0377,71.17,87,98,5.68,overcast clouds
306,Ust-Tsilma,RU,65.441,52.1498,10.87,94,100,6.26,overcast clouds
307,North Branch,US,45.5113,-92.9802,23.09,74,100,2.66,overcast clouds
308,Kailua,US,21.4022,-157.7394,80.58,61,40,12.66,scattered clouds
309,Saskylakh,RU,71.9167,114.0833,-20.81,100,98,2.62,overcast clouds
310,Las Cruces,US,32.3123,-106.7783,62.71,28,75,1.01,broken clouds
311,Chizhou,CN,30.6578,117.4831,34.84,83,94,0.67,overcast clouds
312,Coacoyul,MX,17.8058,-99.11,85.23,32,6,3.67,clear sky
313,Surt,LY,31.2089,16.5887,56.23,63,8,12.15,clear sky
314,Karratha,AU,-20.7377,116.8463,83.79,60,69,17.11,broken clouds
315,Kahului,US,20.8947,-156.47,82.42,55,20,18.41,few clouds
316,Bissora,GW,12.2231,-15.4475,78.87,45,58,3.44,broken clouds
317,Pueblo Rico,CO,5.2383,-76.0364,78.28,98,100,3.4,overcast clouds
318,Wamba,NG,8.9333,8.6,69.42,16,92,4.79,overcast clouds
319,Carnarvon,AU,-24.8667,113.6333,78.87,73,47,14.97,scattered clouds
320,Ballina,AU,-28.8667,153.5667,78.98,89,100,9.22,overcast clouds
321,Tura,IN,25.5198,90.2201,51.48,59,2,3.18,clear sky
322,Nouadhibou,MR,20.931,-17.0347,66.18,59,100,17.27,overcast clouds
323,Sao Filipe,CV,14.8961,-24.4956,71.51,71,99,13.85,overcast clouds
